customer_id,age,age_segment,usage_segment,gender,plan_code,subscription_start_date,discount_tf,actual_plan_charge_krw,assignment_intent
CUS000057,9,CHILD,S1_저사용절약형,F,1693_베이직7GB,2024-08-29,True,33750,good
CUS000058,12,CHILD,S1_저사용절약형,M,NA00009781_만 18세 이하,2023-12-09,True,29250,good
CUS000059,6,CHILD,S1_저사용절약형,F,36751,2024-02-07,True,2200,good
CUS000060,11,CHILD,S2_일반균형형,F,34675,2024-09-13,True,10560,shortage
CUS000061,10,CHILD,S1_저사용절약형,F,LPZ1007768,2023-09-23,True,24750,good
CUS000062,11,CHILD,S1_저사용절약형,M,NA00009781_만 34세 이하,2026-05-01,True,29250,good
CUS000063,9,CHILD,S1_저사용절약형,M,NA00009781_만 34세 이하,2025-01-20,True,29250,good
CUS000064,11,CHILD,S1_저사용절약형,F,NA00009781,2024-03-24,True,29250,good
CUS000065,10,CHILD,S1_저사용절약형,F,Z202605260,2023-09-30,True,27750,good
CUS000066,9,CHILD,S2_일반균형형,M,NA00005628,2026-04-19,True,30750,shortage
CUS000067,7,CHILD,S1_저사용절약형,M,NA00009791,2023-11-13,True,59250,over
CUS000068,12,CHILD,S1_저사용절약형,F,NA00007492,2025-01-01,True,27000,good
CUS000069,11,CHILD,S2_일반균형형,F,26837,2025-03-24,True,100,good
CUS000070,12,CHILD,S2_일반균형형,M,NA00009784_만 34세 이하,2026-05-13,True,41250,good
CUS000071,9,CHILD,S1_저사용절약형,M,NA00007492,2025-02-20,True,27000,good
CUS000072,10,CHILD,S2_일반균형형,F,36734,2025-10-30,True,10,good
CUS000073,6,CHILD,S1_저사용절약형,F,Z202605260,2025-02-07,True,27750,good
CUS000074,11,CHILD,S2_일반균형형,F,1694_베이직 14GB(이월)_만 34세 이하,2024-05-20,True,41250,good
CUS000075,11,CHILD,S1_저사용절약형,M,LPZ1007768,2025-08-10,True,24750,good
CUS000076,12,CHILD,S2_일반균형형,F,1693_베이직14GB_만 34세 이하,2026-02-20,True,41250,good
CUS000077,7,CHILD,S2_일반균형형,M,13983,2026-02-08,True,33000,good
CUS000078,10,CHILD,S2_일반균형형,F,36333,2025-09-23,False,52800,good
CUS000079,12,CHILD,S1_저사용절약형,M,NA00005479,2024-12-10,True,20872,shortage
CUS000080,6,CHILD,S2_일반균형형,M,1694_베이직 10GB(이월)_만 34세 이하,2025-08-07,True,37500,good
CUS000081,6,CHILD,S2_일반균형형,F,29084,2025-05-20,False,19900,good
CUS000082,6,CHILD,S1_저사용절약형,F,33542,2024-08-04,True,110,good
CUS000083,6,CHILD,S1_저사용절약형,M,NA00009804_만 34세 이하,2024-01-10,True,81750,over
CUS000084,7,CHILD,S1_저사용절약형,F,33940,2026-06-19,True,6600,good
CUS000085,8,CHILD,S1_저사용절약형,F,LPZ1006734,2024-02-25,True,27750,good
CUS000086,12,CHILD,S1_저사용절약형,F,36293,2024-08-01,False,23600,good
CUS000087,12,CHILD,S2_일반균형형,M,Z202205253_디즈니+,2025-03-23,True,97500,over
CUS000088,9,CHILD,S1_저사용절약형,F,1693_베이직600MB_만 18세 이하,2024-12-06,True,21675,shortage
CUS000089,6,CHILD,S1_저사용절약형,M,LPZ1006741,2026-06-18,True,27750,good
CUS000090,6,CHILD,S2_일반균형형,F,1567_요고 36,2026-04-22,True,27000,good
CUS000091,6,CHILD,S2_일반균형형,M,1693_베이직30GB,2025-06-10,True,45750,good
CUS000092,11,CHILD,S2_일반균형형,F,1693_베이직600MB_만 18세 이하,2025-10-10,True,21675,shortage
CUS000093,12,CHILD,S1_저사용절약형,F,36788,2025-04-21,True,990,good
CUS000094,9,CHILD,S1_저사용절약형,F,18425,2025-03-07,False,5900,good
CUS000095,10,CHILD,S1_저사용절약형,M,NA00009781_만 18세 이하,2023-10-13,True,29250,good
CUS000096,6,CHILD,S1_저사용절약형,M,1695_키즈28,2023-09-18,True,21000,shortage
CUS000097,7,CHILD,S1_저사용절약형,M,NA00009781_만 18세 이하,2023-11-11,True,29250,good
CUS000098,8,CHILD,S1_저사용절약형,F,NA00009781_만 18세 이하,2025-07-01,True,29250,good
CUS000099,10,CHILD,S1_저사용절약형,F,LPZ1006734,2025-10-19,True,27750,good
CUS000100,8,CHILD,S1_저사용절약형,F,NA00007492,2023-09-29,True,27000,good
CUS000101,11,CHILD,S2_일반균형형,F,27376,2024-05-25,False,36300,good
CUS000102,7,CHILD,S1_저사용절약형,M,25290,2026-05-22,True,6230,good
CUS000103,6,CHILD,S2_일반균형형,M,1693_베이직21GB,2024-11-18,True,43500,good
CUS000104,9,CHILD,S1_저사용절약형,F,1694_베이직 7GB(이월),2025-04-02,True,33750,good
CUS000105,10,CHILD,S1_저사용절약형,M,LPZ1007663,2024-08-02,True,24750,shortage
CUS000106,9,CHILD,S2_일반균형형,M,9628,2025-04-15,False,14300,shortage
CUS000107,11,CHILD,S2_일반균형형,M,NA00005479,2025-07-19,True,20872,shortage
CUS000108,10,CHILD,S1_저사용절약형,F,1695_키즈38,2025-04-22,True,28500,good
CUS000109,12,CHILD,S1_저사용절약형,M,29746,2024-08-20,False,37900,over
CUS000110,9,CHILD,S1_저사용절약형,M,NA00006534,2026-05-22,True,24750,shortage
CUS000111,9,CHILD,S1_저사용절약형,M,1693_베이직10GB_만 18세 이하,2023-10-21,True,37500,over
CUS000112,10,CHILD,S1_저사용절약형,M,1695_키즈38,2024-06-05,True,28500,good
CUS000113,6,CHILD,S1_저사용절약형,F,26255,2024-11-28,False,9900,shortage
CUS000114,8,CHILD,S2_일반균형형,F,1567_요고 38,2024-05-15,True,28500,good
CUS000115,12,CHILD,S2_일반균형형,F,1567_요고 34,2024-07-11,True,25500,shortage
CUS000116,8,CHILD,S2_일반균형형,M,1693_베이직30GB_만 18세 이하,2025-05-27,True,45750,over
CUS000117,10,CHILD,S1_저사용절약형,F,NA00009781_만 34세 이하,2023-08-21,True,29250,good
CUS000118,10,CHILD,S1_저사용절약형,M,NA00007492,2025-10-05,True,27000,good
CUS000119,10,CHILD,S1_저사용절약형,M,Z202605260,2024-11-17,True,27750,good
CUS000120,8,CHILD,S2_일반균형형,F,1681_초이스110_만 34세 이하_폰케어,2024-03-14,True,82500,over
CUS000121,12,CHILD,S2_일반균형형,F,35390,2025-09-09,False,2600,shortage
CUS000122,10,CHILD,S2_일반균형형,M,LPZ1006740,2024-03-07,True,35250,shortage
CUS000123,10,CHILD,S1_저사용절약형,M,35438,2026-01-24,True,10000,over
CUS000124,11,CHILD,S2_일반균형형,M,1567_요고 36,2025-08-26,True,27000,good
CUS000125,9,CHILD,S1_저사용절약형,F,35352,2025-07-28,False,18300,good
CUS000126,7,CHILD,S2_일반균형형,F,1694_베이직 14GB(이월)_만 34세 이하,2024-12-14,True,41250,good
CUS000127,7,CHILD,S2_일반균형형,M,Z202605257,2023-10-08,True,45750,good
CUS000128,8,CHILD,S1_저사용절약형,F,1693_베이직1.4GB_만 34세 이하,2026-06-26,True,24750,shortage
CUS000129,11,CHILD,S2_일반균형형,F,NA00009785,2026-03-20,True,44250,good
CUS000130,7,CHILD,S1_저사용절약형,M,LPZ1007663,2024-12-24,True,24750,shortage
CUS000131,11,CHILD,S2_일반균형형,F,1694_베이직 14GB(이월)_만 34세 이하,2025-04-25,True,41250,good
CUS000132,9,CHILD,S2_일반균형형,M,1694_베이직 21GB(이월),2025-03-20,True,43500,good
CUS000133,6,CHILD,S2_일반균형형,M,1693_베이직10GB_만 18세 이하,2024-07-26,True,37500,good
CUS000134,9,CHILD,S2_일반균형형,M,17624,2024-04-11,True,38000,good
CUS000135,9,CHILD,S1_저사용절약형,F,30871,2024-05-24,False,2750,shortage
CUS000136,6,CHILD,S2_일반균형형,M,1694_베이직 14GB(이월)_만 34세 이하,2026-03-18,True,41250,good
CUS000137,6,CHILD,S1_저사용절약형,F,1693_베이직7GB,2023-09-27,True,33750,good
CUS000138,12,CHILD,S1_저사용절약형,F,11090,2025-01-22,True,1100,shortage
CUS000139,12,CHILD,S2_일반균형형,F,1693_베이직10GB_만 18세 이하,2023-12-12,True,37500,good
CUS000140,8,CHILD,S2_일반균형형,M,NA00009781,2026-06-08,True,29250,shortage
CUS000141,18,TEEN,S1_저사용절약형,M,1681_초이스110_만 34세 이하_삼성,2026-07-03,True,82500,over
CUS000142,13,TEEN,S2_일반균형형,M,35447,2024-01-12,True,100,good
CUS000143,18,TEEN,S2_일반균형형,F,15947,2025-09-27,True,30800,over
CUS000144,15,TEEN,S2_일반균형형,F,1693_베이직7GB_만 18세 이하,2025-08-04,True,33750,shortage
CUS000145,17,TEEN,S2_일반균형형,M,1567_요고 61,2024-05-19,True,45750,over
CUS000146,14,TEEN,S1_저사용절약형,F,1693_베이직7GB,2025-09-30,True,33750,good
CUS000147,17,TEEN,S1_저사용절약형,M,NA00009781,2024-04-09,True,29250,good
CUS000148,18,TEEN,S1_저사용절약형,M,NA00009781_만 34세 이하,2025-11-04,True,29250,good
CUS000149,13,TEEN,S1_저사용절약형,F,37112,2026-03-10,True,13300,good
CUS000150,14,TEEN,S1_저사용절약형,F,NA00006534_만 34세 이하,2025-03-01,True,24750,shortage
CUS000151,16,TEEN,S1_저사용절약형,F,1694_베이직 7GB(이월),2024-01-10,True,33750,good
CUS000152,15,TEEN,S1_저사용절약형,M,23743,2025-01-31,True,2700,good
CUS000153,18,TEEN,S1_저사용절약형,F,NA00009781_만 34세 이하,2026-06-13,True,29250,good
CUS000154,13,TEEN,S1_저사용절약형,F,1693_베이직7GB,2024-06-23,True,33750,good
CUS000155,15,TEEN,S2_일반균형형,M,1681_초이스130_만 34세 이하_티빙/지니/밀리,2025-02-01,True,97500,over
CUS000156,14,TEEN,S2_일반균형형,F,LPZ1007707,2023-08-25,True,35250,shortage
CUS000157,14,TEEN,S3_데이터헤비형,F,1693_베이직1.4GB_만 18세 이하,2023-11-23,True,24750,shortage
CUS000158,13,TEEN,S2_일반균형형,F,1694_베이직 7GB(이월)_만 18세 이하,2026-03-08,True,33750,shortage
CUS000159,14,TEEN,S2_일반균형형,M,1693_베이직14GB_만 18세 이하,2024-01-12,True,41250,good
CUS000160,17,TEEN,S1_저사용절약형,F,1697_음성 18.7_만 18세 이하,2024-01-29,True,14025,shortage
CUS000161,14,TEEN,S1_저사용절약형,M,36701,2025-10-29,True,550,good
CUS000162,17,TEEN,S2_일반균형형,F,1693_베이직14GB_만 34세 이하,2026-02-27,True,41250,good
CUS000163,14,TEEN,S1_저사용절약형,M,6830,2025-05-23,True,0,good
CUS000164,16,TEEN,S2_일반균형형,M,Z202605259,2025-12-25,True,41250,shortage
CUS000165,17,TEEN,S2_일반균형형,F,1693_베이직7GB,2023-09-13,True,33750,shortage
CUS000166,14,TEEN,S2_일반균형형,M,1692_초이스 더블 유튜브 프리미엄+디바이스_지니스마트음악감상,2024-02-05,True,90000,over
CUS000167,16,TEEN,S2_일반균형형,F,NA00009781_만 18세 이하,2024-12-22,True,29250,shortage
CUS000168,17,TEEN,S2_일반균형형,F,36808,2023-11-07,False,13000,good
CUS000169,18,TEEN,S2_일반균형형,M,1693_베이직30GB,2023-10-22,True,45750,good
CUS000170,17,TEEN,S1_저사용절약형,F,Z202605260,2025-06-22,True,27750,good
CUS000171,14,TEEN,S1_저사용절약형,M,35280,2025-10-22,True,15900,over
CUS000172,15,TEEN,S2_일반균형형,F,31937,2025-04-27,False,7200,good
CUS000173,13,TEEN,S2_일반균형형,M,33165,2025-03-25,True,21900,good
CUS000174,17,TEEN,S2_일반균형형,M,29784,2026-07-01,False,23100,good
CUS000175,15,TEEN,S1_저사용절약형,F,24339,2024-03-11,True,2900,good
CUS000176,18,TEEN,S1_저사용절약형,F,Z202605261,2024-11-12,True,21750,shortage
CUS000177,15,TEEN,S2_일반균형형,M,23373,2026-04-24,True,29000,good
CUS000178,15,TEEN,S1_저사용절약형,F,NA00009781,2025-08-15,True,29250,good
CUS000179,13,TEEN,S3_데이터헤비형,F,1567_요고 49,2025-02-23,True,36750,good
CUS000180,16,TEEN,S1_저사용절약형,F,Z202605260,2025-02-17,True,27750,good
CUS000181,13,TEEN,S1_저사용절약형,F,NA00009781_만 18세 이하,2026-04-01,True,29250,good
CUS000182,14,TEEN,S2_일반균형형,M,1567_요고 38,2026-02-12,True,28500,good
CUS000183,14,TEEN,S2_일반균형형,F,35467,2024-09-28,True,21000,over
CUS000184,15,TEEN,S1_저사용절약형,F,Z202605260,2025-11-13,True,27750,good
CUS000185,15,TEEN,S2_일반균형형,M,1693_베이직21GB,2025-01-03,True,43500,good
CUS000186,13,TEEN,S1_저사용절약형,F,25223,2024-12-31,True,10,good
CUS000187,17,TEEN,S1_저사용절약형,F,1694_베이직 4GB(이월),2026-06-03,True,27750,shortage
CUS000188,13,TEEN,S3_데이터헤비형,M,1681_초이스110_삼성,2024-06-01,True,82500,over
CUS000189,15,TEEN,S2_일반균형형,M,1693_베이직10GB_만 18세 이하,2026-05-01,True,37500,good
CUS000190,14,TEEN,S2_일반균형형,M,23124,2024-05-11,True,28500,over
CUS000191,16,TEEN,S1_저사용절약형,F,NA00009781_만 18세 이하,2026-05-27,True,29250,good
CUS000192,13,TEEN,S2_일반균형형,F,LPZ1007706,2025-03-17,True,41250,good
CUS000193,15,TEEN,S2_일반균형형,F,1694_베이직 10GB(이월)_만 18세 이하,2025-12-25,True,37500,good
CUS000194,13,TEEN,S3_데이터헤비형,M,NA00009790_만 34세 이하,2023-10-01,True,51750,good
CUS000195,13,TEEN,S1_저사용절약형,M,1681_초이스110_만 34세 이하_위버스,2026-07-03,True,82500,over
CUS000196,18,TEEN,S2_일반균형형,M,1567_요고 40,2024-08-10,True,30000,good
CUS000197,18,TEEN,S2_일반균형형,M,36333,2024-02-04,False,52800,good
CUS000198,17,TEEN,S1_저사용절약형,F,Z202605260,2026-05-06,True,27750,good
CUS000199,16,TEEN,S2_일반균형형,F,36838,2025-11-25,True,3300,good
CUS000200,16,TEEN,S2_일반균형형,M,1693_베이직100,2025-09-13,True,75000,over
CUS000201,18,TEEN,S2_일반균형형,F,1693_베이직21GB,2024-03-29,True,43500,good
CUS000202,15,TEEN,S3_데이터헤비형,M,1694_베이직 14GB(이월)_만 18세 이하,2024-06-09,True,41250,shortage
CUS000203,14,TEEN,S2_일반균형형,M,NA00009794,2024-12-30,True,66750,over
CUS000204,16,TEEN,S2_일반균형형,M,37142,2023-09-01,False,20400,good
CUS000205,14,TEEN,S2_일반균형형,F,29791,2024-05-07,False,20900,good
CUS000206,14,TEEN,S3_데이터헤비형,M,1694_베이직 7GB(이월),2025-05-17,True,33750,shortage
CUS000207,18,TEEN,S2_일반균형형,M,NA00009815_만 34세 이하,2025-07-23,True,96750,over
CUS000208,14,TEEN,S1_저사용절약형,M,NA00009781_만 34세 이하,2025-10-06,True,29250,good
CUS000209,17,TEEN,S2_일반균형형,M,1693_베이직1.4GB,2025-08-18,True,24750,shortage
CUS000210,18,TEEN,S1_저사용절약형,M,26989,2024-05-07,True,21500,over
CUS000211,18,TEEN,S1_저사용절약형,M,NA00009781_만 34세 이하,2025-09-13,True,29250,good
CUS000212,14,TEEN,S3_데이터헤비형,F,NA00009788_만 34세 이하,2024-12-08,True,49500,good
CUS000213,17,TEEN,S2_일반균형형,M,Z202605262,2026-04-28,True,21000,shortage
CUS000214,17,TEEN,S1_저사용절약형,M,Z202605260,2024-12-15,True,27750,good
CUS000215,17,TEEN,S2_일반균형형,F,Z202205251_구글원+보상패스,2024-01-27,True,86250,over
CUS000216,14,TEEN,S2_일반균형형,M,1694_베이직 7GB(이월)_만 34세 이하,2024-03-03,True,33750,shortage
CUS000217,17,TEEN,S3_데이터헤비형,F,15408,2025-10-21,False,55000,over
CUS000218,18,TEEN,S2_일반균형형,F,18764,2025-02-15,True,15100,shortage
CUS000219,15,TEEN,S1_저사용절약형,M,NA00009781,2025-10-07,True,29250,good
CUS000220,16,TEEN,S2_일반균형형,F,1681_초이스110_만 34세 이하_가전구독,2024-01-13,True,82500,over
CUS000221,14,TEEN,S1_저사용절약형,M,1693_베이직600MB,2024-02-04,True,21675,shortage
CUS000222,13,TEEN,S2_일반균형형,M,1694_베이직 10GB(이월)_만 34세 이하,2023-08-21,True,37500,good
CUS000223,14,TEEN,S1_저사용절약형,M,Z202605261,2023-10-29,True,21750,shortage
CUS000224,18,TEEN,S1_저사용절약형,M,1693_베이직600MB_만 18세 이하,2025-09-23,True,21675,shortage
CUS000225,18,TEEN,S2_일반균형형,M,NA00009817,2025-12-31,True,96750,over
CUS000226,15,TEEN,S2_일반균형형,M,LPZ1007769,2024-08-18,True,21750,shortage
CUS000227,18,TEEN,S3_데이터헤비형,M,NA00009788_만 34세 이하,2024-05-31,True,49500,good
CUS000228,18,TEEN,S1_저사용절약형,M,1694_베이직 7GB(이월),2026-05-12,True,33750,good
CUS000229,17,TEEN,S1_저사용절약형,F,36304,2024-02-23,True,20350,over
CUS000230,15,TEEN,S1_저사용절약형,M,37142,2025-02-04,False,20400,over
CUS000231,18,TEEN,S1_저사용절약형,M,16284,2026-01-24,True,12000,good
CUS000232,16,TEEN,S1_저사용절약형,F,1693_베이직7GB,2025-04-02,True,33750,good
CUS000233,17,TEEN,S1_저사용절약형,M,1681_초이스90_만 18세 이하_유튜브프리미엄,2026-01-09,True,67500,over
CUS000234,13,TEEN,S2_일반균형형,M,13982,2024-02-25,False,27500,good
CUS000235,13,TEEN,S1_저사용절약형,M,30988,2024-05-06,True,15000,good
CUS000236,16,TEEN,S2_일반균형형,F,1694_베이직 14GB(이월)_만 34세 이하,2025-11-16,True,41250,good
CUS000237,14,TEEN,S2_일반균형형,M,1694_베이직 21GB(이월),2025-12-31,True,43500,good
CUS000238,14,TEEN,S2_일반균형형,F,Z202205251_애플디바이스,2026-02-10,True,86250,over
CUS000239,16,TEEN,S2_일반균형형,F,Z202205253_우리집지킴이도어캠,2023-09-14,True,97500,over
CUS000240,18,TEEN,S1_저사용절약형,M,Z202605262,2025-09-04,True,21000,shortage
CUS000241,17,TEEN,S2_일반균형형,M,1681_초이스110_만 18세 이하_넷플릭스,2024-06-18,True,82500,over
CUS000242,13,TEEN,S1_저사용절약형,M,NA00009781_만 34세 이하,2025-10-04,True,29250,good
CUS000243,15,TEEN,S2_일반균형형,F,33936,2025-05-26,True,3300,good
CUS000244,14,TEEN,S2_일반균형형,F,1567_요고 38,2024-07-24,True,28500,good
CUS000245,13,TEEN,S1_저사용절약형,F,NA00009785,2024-08-25,True,44250,over
CUS000246,14,TEEN,S2_일반균형형,M,NA00009784_만 34세 이하,2023-10-26,True,41250,good
CUS000247,13,TEEN,S1_저사용절약형,M,NA00009781,2024-07-21,True,29250,good
CUS000248,14,TEEN,S1_저사용절약형,M,NA00009781_만 18세 이하,2026-01-01,True,29250,good
CUS000249,13,TEEN,S2_일반균형형,F,1693_베이직14GB_만 18세 이하,2026-05-07,True,41250,good
CUS000250,15,TEEN,S1_저사용절약형,M,LPZ1006741,2023-12-15,True,27750,good
CUS000251,18,TEEN,S1_저사용절약형,M,NA00009781_만 18세 이하,2024-09-22,True,29250,good
CUS000252,13,TEEN,S2_일반균형형,M,25315,2024-12-29,True,53900,over
CUS000253,18,TEEN,S1_저사용절약형,M,NA00009781_만 18세 이하,2023-10-12,True,29250,good
CUS000254,16,TEEN,S2_일반균형형,F,1681_초이스90_만 34세 이하_가전구독,2025-01-27,True,67500,over
CUS000255,15,TEEN,S3_데이터헤비형,M,LPZ1007702,2024-10-29,True,49500,good
CUS000256,13,TEEN,S1_저사용절약형,M,LPZ1006741,2024-01-07,True,27750,good
CUS000257,16,TEEN,S1_저사용절약형,M,LPZ1006741,2024-09-08,True,27750,good
CUS000258,18,TEEN,S3_데이터헤비형,F,1693_베이직50GB_만 18세 이하,2025-03-18,True,47250,good
CUS000259,16,TEEN,S2_일반균형형,F,1694_베이직 14GB(이월)_만 34세 이하,2025-08-02,True,41250,good
CUS000260,15,TEEN,S1_저사용절약형,F,NA00009781_만 18세 이하,2024-06-05,True,29250,good
CUS000261,15,TEEN,S1_저사용절약형,F,NA00005628,2025-10-07,True,30750,shortage
CUS000262,17,TEEN,S3_데이터헤비형,F,Z202606002,2026-05-10,True,24750,shortage
CUS000263,18,TEEN,S1_저사용절약형,F,29846,2026-06-30,False,9900,good
CUS000264,13,TEEN,S2_일반균형형,M,1694_베이직 21GB(이월),2024-05-15,True,43500,good
CUS000265,18,TEEN,S2_일반균형형,F,1694_베이직 10GB(이월)_만 18세 이하,2024-03-31,True,37500,good
CUS000266,14,TEEN,S2_일반균형형,F,1693_베이직21GB,2025-09-24,True,43500,good
CUS000267,13,TEEN,S2_일반균형형,M,1693_베이직14GB_만 18세 이하,2023-09-25,True,41250,good
CUS000268,18,TEEN,S2_일반균형형,F,Z202605258,2023-12-25,True,44250,good
CUS000269,15,TEEN,S1_저사용절약형,F,32020,2024-11-19,True,12210,good
CUS000270,18,TEEN,S2_일반균형형,M,1693_베이직14GB_만 34세 이하,2025-04-22,True,41250,good
CUS000271,13,TEEN,S2_일반균형형,F,36849,2025-08-20,True,8800,good
CUS000272,18,TEEN,S1_저사용절약형,F,NA00009781_만 18세 이하,2024-07-10,True,29250,good
CUS000273,13,TEEN,S2_일반균형형,F,1693_베이직4GB_만 34세 이하,2026-05-23,True,27750,shortage
CUS000274,15,TEEN,S2_일반균형형,M,1694_베이직 10GB(이월)_만 18세 이하,2025-12-19,True,37500,good
CUS000275,15,TEEN,S1_저사용절약형,M,30942,2024-03-07,False,21560,good
CUS000276,18,TEEN,S1_저사용절약형,M,Z202205252_디즈니+,2024-09-07,True,78750,over
CUS000277,15,TEEN,S2_일반균형형,M,1694_베이직 14GB(이월)_만 34세 이하,2023-08-26,True,41250,good
CUS000278,18,TEEN,S1_저사용절약형,M,27254,2023-11-29,True,12000,good
CUS000279,13,TEEN,S3_데이터헤비형,M,36681,2026-05-03,True,16000,good
CUS000280,18,TEEN,S1_저사용절약형,F,Z202205251_AI구독,2024-11-16,True,86250,over
CUS000281,15,TEEN,S2_일반균형형,F,1681_초이스110_만 34세 이하_가전구독,2025-08-12,True,82500,over
CUS000282,14,TEEN,S1_저사용절약형,M,35368,2024-01-06,True,100,good
CUS000283,17,TEEN,S2_일반균형형,F,31433,2023-10-18,True,32500,over
