user_id,persona,age,monthly_call_minutes,monthly_data_gb,monthly_sms_count,monthly_budget_won,preferred_carrier_type
U00050,자취생 헤비유저,27,300,66.4,29,98200,MNO
U00051,자취생 헤비유저,27,82,113.6,0,88300,MNO
U00052,자취생 헤비유저,21,127,10.9,42,63500,MNO
U00053,자취생 헤비유저,23,33,97.4,26,79200,MNO
U00054,자취생 헤비유저,24,103,89.5,33,70100,MVNO
U00055,자취생 헤비유저,24,175,56.2,11,71600,MVNO
U00056,자취생 헤비유저,20,246,22.2,32,77200,MNO
U00057,자취생 헤비유저,25,92,82.9,36,82400,MNO
U00058,자취생 헤비유저,21,98,58.8,23,70900,MNO
U00059,자취생 헤비유저,27,0,89.3,24,87800,MNO
U00060,자취생 헤비유저,26,137,80.9,24,61300,MNO
U00061,자취생 헤비유저,29,65,144.1,7,75100,MNO
U00062,자취생 헤비유저,27,108,70.4,18,106200,MNO
U00063,자취생 헤비유저,23,80,39.1,18,77700,MNO
U00064,자취생 헤비유저,29,142,87.2,26,92200,MVNO
U00065,자취생 헤비유저,24,9,88.8,35,76100,MNO
U00066,자취생 헤비유저,23,33,134.4,4,82000,MVNO
U00067,자취생 헤비유저,29,320,113.4,18,74300,MNO
U00068,자취생 헤비유저,23,47,94.3,42,73000,MNO
U00069,자취생 헤비유저,20,62,138.5,9,65600,MNO
U00070,자취생 헤비유저,24,297,32.4,8,80200,MNO
U00071,자취생 헤비유저,27,382,54.4,23,64800,MNO
U00072,자취생 헤비유저,21,56,42.9,33,83000,MVNO
U00073,자취생 헤비유저,24,121,64.4,20,88000,MNO
U00074,자취생 헤비유저,21,177,24.9,40,79400,MNO
U00075,자취생 헤비유저,26,288,105.4,33,71600,MNO
U00076,자취생 헤비유저,24,71,71.1,33,80400,MNO
U00077,자취생 헤비유저,23,130,21.2,28,71300,MNO
U00078,자취생 헤비유저,22,212,39.4,55,86200,MNO
U00079,자취생 헤비유저,25,185,92.5,17,53000,MNO
U00080,자취생 헤비유저,26,120,113.5,0,71000,MNO
U00081,자취생 헤비유저,29,139,159.9,44,51100,MVNO
U00082,자취생 헤비유저,24,40,196.6,13,57100,MNO
U00083,자취생 헤비유저,21,131,96.6,22,91400,MNO
U00084,자취생 헤비유저,28,129,40.4,40,85700,MNO
U00085,자취생 헤비유저,26,169,0.5,0,66400,MNO
U00086,자취생 헤비유저,27,106,90.7,1,57000,MNO
U00087,자취생 헤비유저,20,188,47.5,0,39400,MVNO
U00088,자취생 헤비유저,23,231,63.4,8,68500,MNO
U00089,자취생 헤비유저,27,162,55.5,27,104000,MNO
U00090,자취생 헤비유저,28,178,74.4,28,80200,MNO
U00091,자취생 헤비유저,24,154,122.6,24,68300,MNO
U00092,자취생 헤비유저,28,150,86.3,0,80600,MNO
U00093,자취생 헤비유저,28,92,73.7,0,56300,MVNO
U00094,자취생 헤비유저,23,175,38.6,21,71400,MNO
U00095,자취생 헤비유저,28,142,13.0,13,76200,MNO
U00096,자취생 헤비유저,22,317,60.5,27,74000,MVNO
U00097,자취생 헤비유저,22,276,77.8,31,84500,MNO
U00098,자취생 헤비유저,26,181,150.7,22,79100,MVNO
U00099,자취생 헤비유저,26,89,85.2,31,83000,MNO
U00100,자취생 헤비유저,21,61,119.3,23,66700,MNO
U00101,자취생 헤비유저,28,245,60.0,28,85800,MNO
U00102,자취생 헤비유저,21,171,32.6,9,94500,MNO
U00103,자취생 헤비유저,28,188,41.4,17,63400,MVNO
U00104,자취생 헤비유저,20,10,51.0,23,64300,MNO
U00105,자취생 헤비유저,27,224,165.1,32,91000,MNO
U00106,자취생 헤비유저,27,186,47.1,14,72700,MNO
U00107,자취생 헤비유저,27,61,113.5,28,91800,MNO
U00108,자취생 헤비유저,26,112,43.9,16,69700,MNO
U00109,자취생 헤비유저,24,171,117.3,18,92500,MVNO
U00110,자취생 헤비유저,27,154,95.4,32,76600,MNO
U00111,자취생 헤비유저,22,127,73.7,0,78100,MNO
U00112,자취생 헤비유저,27,142,78.4,1,93800,MNO
U00113,자취생 헤비유저,25,130,53.8,0,70700,MNO
U00114,자취생 헤비유저,24,162,97.8,0,63700,MVNO
U00115,자취생 헤비유저,25,268,61.8,10,69600,MNO
U00116,자취생 헤비유저,25,0,31.0,31,80400,MNO
U00117,자취생 헤비유저,20,131,28.9,16,56200,MNO
U00118,자취생 헤비유저,21,164,86.9,23,82600,MVNO
U00119,자취생 헤비유저,22,174,143.2,36,68500,MNO
U00120,자취생 헤비유저,21,120,86.4,40,88800,MNO
U00121,가성비 알뜰폰 알뜰족,28,0,7.9,0,8800,MVNO
U00122,가성비 알뜰폰 알뜰족,36,124,6.0,0,8400,MVNO
U00123,가성비 알뜰폰 알뜰족,27,194,8.1,14,5700,MVNO
U00124,가성비 알뜰폰 알뜰족,27,32,2.9,14,8300,MVNO
U00125,가성비 알뜰폰 알뜰족,35,77,6.0,1,4200,MVNO
U00126,가성비 알뜰폰 알뜰족,31,55,5.4,4,6300,MVNO
U00127,가성비 알뜰폰 알뜰족,42,46,2.4,21,9700,MVNO
U00128,가성비 알뜰폰 알뜰족,25,80,1.3,6,13000,MVNO
U00129,가성비 알뜰폰 알뜰족,34,186,8.1,28,17400,MVNO
U00130,가성비 알뜰폰 알뜰족,39,210,4.9,10,7200,MVNO
U00131,가성비 알뜰폰 알뜰족,54,80,2.9,13,13300,MVNO
U00132,가성비 알뜰폰 알뜰족,44,214,5.7,23,9700,MVNO
U00133,가성비 알뜰폰 알뜰족,52,102,9.4,11,8500,MVNO
U00134,가성비 알뜰폰 알뜰족,35,205,0.5,2,10300,MVNO
U00135,가성비 알뜰폰 알뜰족,38,94,1.5,9,9200,MVNO
U00136,가성비 알뜰폰 알뜰족,38,108,3.2,10,9300,MVNO
U00137,가성비 알뜰폰 알뜰족,52,122,10.4,0,7800,MVNO
U00138,가성비 알뜰폰 알뜰족,54,291,6.8,8,4800,MVNO
U00139,가성비 알뜰폰 알뜰족,54,151,8.3,4,4400,MVNO
U00140,가성비 알뜰폰 알뜰족,48,58,2.6,17,11000,MVNO
U00141,가성비 알뜰폰 알뜰족,40,158,2.6,10,8200,MVNO
U00142,가성비 알뜰폰 알뜰족,41,78,7.3,8,7200,MVNO
U00143,가성비 알뜰폰 알뜰족,55,71,6.2,9,9000,MVNO
U00144,가성비 알뜰폰 알뜰족,33,155,7.6,12,11400,MVNO
U00145,가성비 알뜰폰 알뜰족,35,102,5.4,15,9500,MVNO
U00146,가성비 알뜰폰 알뜰족,52,117,6.8,2,7000,MVNO
U00147,가성비 알뜰폰 알뜰족,36,101,6.5,2,12700,MVNO
U00148,가성비 알뜰폰 알뜰족,32,120,8.3,19,13700,MVNO
U00149,가성비 알뜰폰 알뜰족,42,125,8.4,7,10500,MVNO
U00150,가성비 알뜰폰 알뜰족,35,0,1.1,0,11900,MVNO
U00151,가성비 알뜰폰 알뜰족,52,140,0.5,14,12700,MVNO
U00152,가성비 알뜰폰 알뜰족,53,41,9.0,14,12400,MVNO
U00153,가성비 알뜰폰 알뜰족,34,13,9.6,0,10800,MVNO
U00154,가성비 알뜰폰 알뜰족,41,96,2.9,12,10800,MVNO
U00155,가성비 알뜰폰 알뜰족,55,105,0.5,16,10600,MVNO
U00156,가성비 알뜰폰 알뜰족,48,58,6.3,13,5700,MNO
U00157,가성비 알뜰폰 알뜰족,31,150,8.8,15,11100,MVNO
U00158,가성비 알뜰폰 알뜰족,43,19,11.4,0,4900,MVNO
U00159,가성비 알뜰폰 알뜰족,44,76,7.5,13,6600,MVNO
U00160,가성비 알뜰폰 알뜰족,45,65,4.9,8,12900,MVNO
U00161,가성비 알뜰폰 알뜰족,25,97,3.3,6,11500,MVNO
U00162,가성비 알뜰폰 알뜰족,34,117,6.0,17,13500,MVNO
U00163,가성비 알뜰폰 알뜰족,51,40,5.1,22,8200,MVNO
U00164,가성비 알뜰폰 알뜰족,32,143,3.0,24,5500,MVNO
U00165,가성비 알뜰폰 알뜰족,34,104,12.1,21,8300,MVNO
U00166,가성비 알뜰폰 알뜰족,34,0,11.4,9,9300,MVNO
U00167,가성비 알뜰폰 알뜰족,30,0,9.4,13,9200,MVNO
U00168,가성비 알뜰폰 알뜰족,29,99,3.2,16,12400,MVNO
U00169,가성비 알뜰폰 알뜰족,35,87,8.6,11,7900,MVNO
U00170,가성비 알뜰폰 알뜰족,52,94,7.9,11,10100,MVNO
U00171,가성비 알뜰폰 알뜰족,25,98,7.3,17,6000,MVNO
U00172,가성비 알뜰폰 알뜰족,33,114,9.7,10,10400,MVNO
U00173,가성비 알뜰폰 알뜰족,26,157,7.9,4,9000,MVNO
U00174,가성비 알뜰폰 알뜰족,42,33,8.2,7,6800,MVNO
U00175,가성비 알뜰폰 알뜰족,32,30,7.9,15,8300,MVNO
U00176,가성비 알뜰폰 알뜰족,49,34,7.0,10,8400,MVNO
U00177,가성비 알뜰폰 알뜰족,43,117,0.6,13,8200,MVNO
U00178,가성비 알뜰폰 알뜰족,49,175,6.3,15,14300,MVNO
U00179,가성비 알뜰폰 알뜰족,44,74,4.3,7,8700,MVNO
U00180,가성비 알뜰폰 알뜰족,38,0,2.2,16,8300,MVNO
U00181,가성비 알뜰폰 알뜰족,51,0,11.0,13,3000,MVNO
U00182,가성비 알뜰폰 알뜰족,39,50,11.2,0,6300,MVNO
U00183,가성비 알뜰폰 알뜰족,54,67,10.1,22,8200,MVNO
U00184,가성비 알뜰폰 알뜰족,55,75,6.8,6,6900,MVNO
U00185,가성비 알뜰폰 알뜰족,43,102,10.1,0,13100,MVNO
U00186,가성비 알뜰폰 알뜰족,45,81,6.0,2,8500,MVNO
U00187,가성비 알뜰폰 알뜰족,32,163,6.6,2,12900,MVNO
U00188,가성비 알뜰폰 알뜰족,50,59,2.7,10,9200,MVNO
U00189,가성비 알뜰폰 알뜰족,45,48,7.2,8,9100,MVNO
U00190,가성비 알뜰폰 알뜰족,52,129,6.2,7,8700,MVNO
U00191,가성비 알뜰폰 알뜰족,33,8,2.1,15,9000,MVNO
U00192,가성비 알뜰폰 알뜰족,49,123,5.8,13,14200,MVNO
U00193,가성비 알뜰폰 알뜰족,39,106,5.8,13,3000,MVNO
U00194,가성비 알뜰폰 알뜰족,30,91,11.4,13,3000,MVNO
U00195,가성비 알뜰폰 알뜰족,30,195,8.7,15,7400,MVNO
U00196,가성비 알뜰폰 알뜰족,42,63,6.0,0,9000,MVNO
U00197,가성비 알뜰폰 알뜰족,34,224,6.7,7,11100,MVNO
U00198,가성비 알뜰폰 알뜰족,28,86,6.1,0,10400,MVNO
U00199,가성비 알뜰폰 알뜰족,38,23,5.4,10,7800,MVNO
U00200,가성비 알뜰폰 알뜰족,45,104,2.8,10,12100,MVNO
U00201,가성비 알뜰폰 알뜰족,34,35,5.5,18,12100,MVNO
U00202,가성비 알뜰폰 알뜰족,54,55,3.8,20,9600,MVNO
U00203,가성비 알뜰폰 알뜰족,49,124,2.2,12,11900,MVNO
U00204,가성비 알뜰폰 알뜰족,40,133,7.5,6,9800,MVNO
U00205,가성비 알뜰폰 알뜰족,53,63,7.2,14,7300,MVNO
U00206,가성비 알뜰폰 알뜰족,38,159,0.6,6,11100,MVNO
U00207,가성비 알뜰폰 알뜰족,29,169,5.6,10,9300,MVNO
U00208,가성비 알뜰폰 알뜰족,26,186,9.0,18,9000,MVNO
U00209,가성비 알뜰폰 알뜰족,54,132,9.2,6,13400,MNO
U00210,가성비 알뜰폰 알뜰족,54,182,9.1,16,3000,MNO
U00211,가성비 알뜰폰 알뜰족,47,0,6.1,15,4700,MVNO
U00212,가성비 알뜰폰 알뜰족,28,81,3.5,2,5400,MVNO
U00213,가성비 알뜰폰 알뜰족,34,48,2.7,18,7900,MNO
U00214,가성비 알뜰폰 알뜰족,26,107,7.0,16,8200,MVNO
U00215,가성비 알뜰폰 알뜰족,26,66,7.1,11,4500,MVNO
U00216,가성비 알뜰폰 알뜰족,32,90,9.9,4,6000,MVNO
U00217,가성비 알뜰폰 알뜰족,42,213,9.3,3,6400,MVNO
U00218,가성비 알뜰폰 알뜰족,27,90,5.6,6,16400,MNO
U00219,가성비 알뜰폰 알뜰족,55,125,2.3,14,14400,MVNO
U00220,가성비 알뜰폰 알뜰족,39,86,5.0,2,7800,MVNO
U00221,가성비 알뜰폰 알뜰족,33,105,6.7,14,7900,MVNO
U00222,가성비 알뜰폰 알뜰족,40,100,5.4,0,5600,MVNO
U00223,가성비 알뜰폰 알뜰족,49,127,4.3,8,3300,MVNO
U00224,가성비 알뜰폰 알뜰족,34,170,6.8,11,8600,MVNO
U00225,가성비 알뜰폰 알뜰족,26,199,4.5,30,6000,MVNO
U00226,가성비 알뜰폰 알뜰족,26,119,4.1,0,8700,MVNO
U00227,가성비 알뜰폰 알뜰족,51,135,6.9,22,4200,MVNO
U00228,가성비 알뜰폰 알뜰족,28,31,4.8,11,6700,MVNO
U00229,가성비 알뜰폰 알뜰족,44,95,6.7,13,9400,MVNO
U00230,가성비 알뜰폰 알뜰족,36,156,6.8,11,10100,MVNO
U00231,가성비 알뜰폰 알뜰족,49,152,2.6,14,10300,MVNO
U00232,가성비 알뜰폰 알뜰족,26,113,4.6,9,5000,MVNO
U00233,가성비 알뜰폰 알뜰족,52,153,10.3,22,11600,MVNO
U00234,가성비 알뜰폰 알뜰족,46,129,2.5,6,6600,MVNO
U00235,가성비 알뜰폰 알뜰족,38,172,0.5,19,10900,MVNO
U00236,가성비 알뜰폰 알뜰족,31,117,0.5,5,9000,MVNO
U00237,가성비 알뜰폰 알뜰족,55,79,6.1,10,4900,MVNO
U00238,가성비 알뜰폰 알뜰족,34,120,6.1,1,8100,MVNO
U00239,가성비 알뜰폰 알뜰족,40,0,5.6,14,10100,MVNO
U00240,가성비 알뜰폰 알뜰족,37,123,9.6,22,10800,MVNO
U00241,청년 실속형,30,107,23.8,40,25800,MNO
U00242,청년 실속형,28,259,8.7,28,17500,MVNO
U00243,청년 실속형,33,56,33.3,23,20800,MNO
U00244,청년 실속형,25,210,32.5,17,25600,MNO
U00245,청년 실속형,33,196,29.6,14,25300,MNO
U00246,청년 실속형,24,125,4.9,24,24300,MNO
U00247,청년 실속형,21,178,28.3,16,24800,MNO
U00248,청년 실속형,25,124,24.0,19,23300,MNO
U00249,청년 실속형,21,84,3.9,21,13500,MNO
U00250,청년 실속형,20,148,19.8,10,20900,MNO
U00251,청년 실속형,33,81,23.6,28,32300,MNO
U00252,청년 실속형,31,209,25.6,64,14100,MNO
U00253,청년 실속형,22,76,21.8,0,23500,MVNO
U00254,청년 실속형,32,244,22.9,25,18400,MNO
U00255,청년 실속형,20,74,34.7,9,25900,MNO
U00256,청년 실속형,23,129,32.3,29,21900,MNO
U00257,청년 실속형,30,124,0.5,21,36800,MNO
U00258,청년 실속형,23,299,16.8,31,29100,MNO
U00259,청년 실속형,30,210,18.4,38,14500,MVNO
U00260,청년 실속형,32,161,2.5,23,30400,MVNO
U00261,청년 실속형,20,225,20.9,37,18800,MNO
U00262,청년 실속형,19,0,32.5,0,20400,MNO
U00263,청년 실속형,34,176,9.1,44,27500,MVNO
U00264,청년 실속형,27,360,23.4,26,21100,MNO
U00265,청년 실속형,27,192,10.8,36,32100,MNO
U00266,청년 실속형,26,186,13.3,2,18800,MNO
U00267,청년 실속형,25,229,34.8,8,20000,MNO
U00268,청년 실속형,30,261,14.6,22,19700,MVNO
U00269,청년 실속형,28,0,24.6,20,20500,MNO
U00270,청년 실속형,21,29,1.3,24,33800,MVNO
U00271,청년 실속형,29,199,38.6,36,30000,MNO
U00272,청년 실속형,29,116,26.0,0,38700,MNO
U00273,청년 실속형,20,298,18.2,35,43100,MNO
U00274,청년 실속형,25,152,25.8,20,16800,MNO
U00275,청년 실속형,31,6,5.9,17,25600,MNO
U00276,청년 실속형,28,66,31.8,0,15600,MNO
U00277,청년 실속형,21,0,16.8,28,18800,MNO
U00278,청년 실속형,19,159,18.0,0,20000,MVNO
U00279,청년 실속형,28,163,15.1,30,16500,MNO
U00280,청년 실속형,26,142,14.2,0,16600,MNO
U00281,청년 실속형,34,277,26.9,21,23800,MNO
U00282,청년 실속형,27,288,22.6,18,15300,MNO
U00283,청년 실속형,33,165,26.5,38,31700,MVNO
U00284,청년 실속형,22,0,19.9,17,17700,MVNO
U00285,청년 실속형,26,236,25.1,10,47500,MVNO
U00286,청년 실속형,21,230,15.8,12,21400,MNO
U00287,청년 실속형,28,208,42.3,39,25600,MNO
U00288,청년 실속형,22,268,4.3,28,14600,MNO
U00289,청년 실속형,26,75,32.6,14,38600,MNO
U00290,청년 실속형,24,361,33.7,16,34000,MNO
U00291,청년 실속형,21,94,11.5,0,27400,MNO
U00292,청년 실속형,20,247,42.3,26,14200,MNO
U00293,청년 실속형,27,28,30.0,0,26700,MNO
U00294,청년 실속형,34,96,29.7,31,16000,MNO
U00295,청년 실속형,22,316,20.3,22,36700,MVNO
U00296,청년 실속형,25,157,17.8,56,31500,MVNO
U00297,청년 실속형,22,256,17.9,3,25800,MNO
U00298,청년 실속형,31,201,23.9,18,5500,MVNO
U00299,청년 실속형,25,171,34.0,47,17100,MNO
U00300,청년 실속형,34,303,21.8,38,30500,MVNO
U00301,청년 실속형,22,159,10.9,10,34700,MVNO
U00302,청년 실속형,20,20,28.2,23,33900,MNO
U00303,청년 실속형,28,108,29.2,20,12300,MVNO
U00304,청년 실속형,29,230,26.5,24,27400,MVNO
U00305,청년 실속형,34,216,27.5,10,33100,MVNO
U00306,청년 실속형,32,39,17.3,19,11700,MVNO
U00307,청년 실속형,33,115,10.7,0,24900,MNO
U00308,청년 실속형,29,128,11.3,22,27200,MNO
U00309,청년 실속형,24,147,3.6,27,22600,MVNO
U00310,청년 실속형,25,56,22.4,17,10200,MNO
U00311,청년 실속형,21,123,19.2,0,22400,MNO
U00312,청년 실속형,25,114,15.6,35,22400,MNO
U00313,청년 실속형,24,249,0.5,25,23800,MNO
U00314,청년 실속형,19,253,7.5,9,20500,MNO
U00315,청년 실속형,22,167,31.2,16,21500,MVNO
U00316,청년 실속형,27,145,13.4,0,24700,MNO
U00317,청년 실속형,24,193,23.6,5,28500,MVNO
U00318,청년 실속형,34,107,6.1,12,22600,MVNO
U00319,청년 실속형,26,77,34.4,38,21700,MNO
U00320,청년 실속형,34,95,18.6,10,25700,MNO
U00321,청년 실속형,29,123,22.9,30,9600,MNO
U00322,청년 실속형,19,75,43.3,12,28800,MVNO
U00323,청년 실속형,22,195,35.2,24,25000,MVNO
U00324,청년 실속형,30,246,16.9,18,25300,MNO
U00325,청년 실속형,27,37,14.1,33,32700,MNO
U00326,청년 실속형,23,182,16.7,12,9400,MNO
U00327,청년 실속형,27,160,25.1,0,9200,MNO
U00328,청년 실속형,33,211,18.9,0,27200,MVNO
U00329,청년 실속형,25,179,16.0,12,24900,MVNO
U00330,청년 실속형,19,49,34.7,1,26400,MNO
U00331,청년 실속형,23,66,18.9,26,21300,MVNO
U00332,청년 실속형,33,183,43.0,13,30300,MNO
U00333,청년 실속형,31,273,20.9,56,32500,MVNO
U00334,청년 실속형,32,0,37.9,0,28900,MNO
U00335,청년 실속형,33,211,23.6,23,22900,MNO
U00336,청년 실속형,20,287,29.6,3,8100,MVNO
U00337,청년 실속형,23,166,12.8,13,31200,MNO
U00338,청년 실속형,19,230,11.5,22,34800,MNO
U00339,청년 실속형,19,117,24.6,0,30200,MVNO
U00340,청년 실속형,32,169,29.9,24,18000,MNO
U00341,청년 실속형,33,34,20.4,49,30400,MNO
U00342,청년 실속형,21,0,7.1,13,31900,MNO
U00343,청년 실속형,30,265,6.4,24,37500,MNO
U00344,청년 실속형,27,91,5.7,35,18000,MNO
U00345,청년 실속형,20,139,2.3,18,23200,MNO
U00346,청년 실속형,33,55,21.1,11,31000,MVNO
U00347,청년 실속형,32,53,31.3,0,25500,MNO
U00348,청년 실속형,28,164,19.9,30,16100,MNO
U00349,청년 실속형,30,114,0.5,18,28300,MVNO
U00350,청년 실속형,25,214,18.1,5,29600,MNO
U00351,청년 실속형,31,221,18.4,22,25700,MVNO
U00352,청년 실속형,26,209,41.0,11,26800,MNO
U00353,청년 실속형,34,201,5.4,12,22900,MVNO
U00354,청년 실속형,20,322,16.1,29,36800,MNO
U00355,청년 실속형,21,84,37.1,0,17800,MNO
U00356,청년 실속형,34,175,24.5,36,20300,MVNO
U00357,청년 실속형,23,282,25.6,0,25100,MNO
U00358,청년 실속형,23,294,21.1,10,32000,MNO
U00359,청년 실속형,31,52,23.3,49,13000,MNO
U00360,청년 실속형,22,152,27.8,37,14500,MNO
U00361,청소년/키즈 보호자용,9,31,1.3,40,14700,MNO
U00362,청소년/키즈 보호자용,8,32,1.1,46,9500,MNO
U00363,청소년/키즈 보호자용,13,22,5.1,42,5600,MNO
U00364,청소년/키즈 보호자용,11,97,0.5,26,14700,MNO
U00365,청소년/키즈 보호자용,13,45,4.4,0,16500,MNO
U00366,청소년/키즈 보호자용,9,65,3.0,21,11800,MNO
U00367,청소년/키즈 보호자용,10,57,6.6,38,4200,MNO
U00368,청소년/키즈 보호자용,12,89,3.0,8,14800,MNO
U00369,청소년/키즈 보호자용,15,26,5.3,43,5400,MNO
U00370,청소년/키즈 보호자용,12,17,3.2,48,13200,MVNO
U00371,청소년/키즈 보호자용,13,69,4.2,33,8500,MNO
U00372,청소년/키즈 보호자용,13,84,5.5,0,7400,MNO
U00373,청소년/키즈 보호자용,10,73,3.1,4,10200,MVNO
U00374,청소년/키즈 보호자용,11,28,6.0,68,11300,MVNO
U00375,청소년/키즈 보호자용,12,87,2.0,19,9400,MNO
U00376,청소년/키즈 보호자용,8,30,4.6,0,14400,MNO
U00377,청소년/키즈 보호자용,15,39,5.8,55,10200,MNO
U00378,청소년/키즈 보호자용,14,22,5.3,30,15900,MVNO
U00379,청소년/키즈 보호자용,11,112,7.8,52,13100,MNO
U00380,청소년/키즈 보호자용,12,85,2.5,36,9200,MVNO
U00381,청소년/키즈 보호자용,11,84,1.2,39,8500,MNO
U00382,청소년/키즈 보호자용,15,110,2.0,37,5400,MVNO
U00383,청소년/키즈 보호자용,16,173,5.3,44,13200,MNO
U00384,청소년/키즈 보호자용,9,0,5.0,76,10600,MNO
U00385,청소년/키즈 보호자용,12,30,4.2,49,3000,MNO
U00386,청소년/키즈 보호자용,8,35,1.8,0,9900,MNO
U00387,청소년/키즈 보호자용,12,26,5.5,39,8400,MNO
U00388,청소년/키즈 보호자용,10,17,1.6,53,18300,MNO
U00389,청소년/키즈 보호자용,11,48,6.3,54,5200,MNO
U00390,청소년/키즈 보호자용,13,11,9.7,21,6200,MNO
U00391,청소년/키즈 보호자용,11,73,4.7,53,16400,MVNO
U00392,청소년/키즈 보호자용,12,62,5.2,49,17400,MVNO
U00393,청소년/키즈 보호자용,16,79,3.0,81,9000,MNO
U00394,청소년/키즈 보호자용,16,80,0.5,15,9500,MNO
U00395,청소년/키즈 보호자용,8,84,2.8,20,14500,MNO
U00396,청소년/키즈 보호자용,12,45,1.8,24,3000,MVNO
U00397,청소년/키즈 보호자용,17,145,1.1,20,4600,MNO
U00398,청소년/키즈 보호자용,13,69,7.4,12,10900,MNO
U00399,청소년/키즈 보호자용,10,0,4.5,0,18200,MVNO
U00400,청소년/키즈 보호자용,14,20,4.8,21,10300,MVNO
U00401,청소년/키즈 보호자용,9,0,3.4,37,12400,MNO
U00402,청소년/키즈 보호자용,8,61,3.7,20,16500,MNO
U00403,청소년/키즈 보호자용,14,55,5.9,69,20400,MNO
U00404,청소년/키즈 보호자용,13,41,3.9,30,9700,MVNO
U00405,청소년/키즈 보호자용,16,140,5.1,56,11900,MNO
U00406,청소년/키즈 보호자용,11,82,3.6,35,19300,MNO
U00407,청소년/키즈 보호자용,17,89,3.3,47,5900,MNO
U00408,청소년/키즈 보호자용,12,23,1.2,36,16100,MNO
U00409,청소년/키즈 보호자용,16,20,0.5,57,7900,MNO
U00410,청소년/키즈 보호자용,9,61,3.5,31,12400,MNO
U00411,청소년/키즈 보호자용,9,67,4.1,40,11000,MVNO
U00412,청소년/키즈 보호자용,16,0,1.4,37,8200,MVNO
U00413,청소년/키즈 보호자용,17,53,3.9,24,8100,MNO
U00414,청소년/키즈 보호자용,18,61,4.1,38,13100,MVNO
U00415,청소년/키즈 보호자용,11,51,0.5,75,16000,MNO
U00416,청소년/키즈 보호자용,8,27,2.2,25,11500,MNO
U00417,청소년/키즈 보호자용,18,38,4.8,38,12300,MNO
U00418,청소년/키즈 보호자용,14,53,4.8,55,14300,MVNO
U00419,청소년/키즈 보호자용,10,64,1.7,53,8100,MVNO
U00420,청소년/키즈 보호자용,16,84,4.3,30,15000,MVNO
