customer_id,usage_month,data_usage_gb,voice_usage_min,sms_usage_count,tethering_usage_gb
CUS000031,2026-07,11.9,257,84,2.9
CUS000032,2026-05,7.4,110,51,0.5
CUS000032,2026-06,8.2,121,56,0.5
CUS000032,2026-07,6.6,97,45,0.4
CUS000033,2026-05,30.4,261,100,5.6
CUS000033,2026-06,25.4,218,84,4.6
CUS000033,2026-07,27.5,236,90,5.0
CUS000034,2026-05,25.7,123,119,2.7
CUS000034,2026-06,20.1,96,93,2.1
CUS000034,2026-07,28.9,137,133,3.0
CUS000035,2026-05,6.6,90,29,0.1
CUS000035,2026-06,9.6,131,43,0.2
CUS000035,2026-07,9.9,134,44,0.2
CUS000036,2026-05,1.6,162,44,1.2
CUS000036,2026-06,1.2,122,33,0.9
CUS000036,2026-07,1.7,174,48,1.3
CUS000037,2026-05,17.1,276,132,5.6
CUS000037,2026-06,17.6,285,136,5.8
CUS000037,2026-07,16.6,267,128,5.4
CUS000038,2026-05,9.1,87,43,1.9
CUS000038,2026-06,6.6,64,31,1.4
CUS000038,2026-07,5.8,56,27,1.2
CUS000039,2026-05,4.8,106,69,0.8
CUS000039,2026-06,4.9,110,71,0.8
CUS000039,2026-07,5.4,121,78,0.9
CUS000040,2026-05,2.2,107,63,0.7
CUS000040,2026-06,2.9,142,84,1.0
CUS000040,2026-07,2.3,109,65,0.7
CUS000041,2026-05,24.8,227,23,3.1
CUS000041,2026-06,18.3,168,17,2.3
CUS000041,2026-07,25.7,235,24,3.2
CUS000042,2026-05,3.4,55,28,0.3
CUS000042,2026-06,5.0,80,41,0.4
CUS000042,2026-07,3.2,52,27,0.3
CUS000043,2026-05,2.6,50,53,1.0
CUS000043,2026-06,2.1,41,43,0.8
CUS000043,2026-07,3.1,61,64,1.2
CUS000044,2026-05,6.1,213,46,1.8
CUS000044,2026-06,4.1,143,31,1.2
CUS000044,2026-07,5.6,199,43,1.7
CUS000045,2026-05,2.0,157,67,1.7
CUS000045,2026-06,2.4,190,81,2.0
CUS000045,2026-07,2.2,170,72,1.8
CUS000046,2026-05,4.4,59,33,0.6
CUS000046,2026-06,4.9,67,37,0.7
CUS000046,2026-07,6.1,82,45,0.9
CUS000047,2026-05,4.4,173,21,0.8
CUS000047,2026-06,5.0,199,25,1.0
CUS000047,2026-07,3.8,150,18,0.7
CUS000048,2026-05,4.3,52,51,1.6
CUS000048,2026-06,4.4,53,52,1.7
CUS000048,2026-07,8.8,59,58,3.3
CUS000049,2026-05,9.0,207,112,4.0
CUS000049,2026-06,11.7,268,145,5.2
CUS000049,2026-07,7.6,175,95,3.4
CUS000050,2026-05,1.0,103,35,1.1
CUS000050,2026-06,1.3,135,45,1.4
CUS000050,2026-07,1.1,107,36,1.1
CUS000051,2026-05,27.8,338,25,6.6
CUS000051,2026-06,18.1,220,16,4.3
CUS000051,2026-07,24.5,298,22,5.8
CUS000052,2026-05,31.9,318,58,1.8
CUS000052,2026-06,33.9,337,61,1.9
CUS000052,2026-07,33.8,336,61,1.9
CUS000053,2026-05,12.8,232,20,0.6
CUS000053,2026-06,27.6,279,24,1.3
CUS000053,2026-07,14.9,272,23,0.7
CUS000054,2026-05,3.4,140,6,0.9
CUS000054,2026-06,3.2,134,6,0.8
CUS000054,2026-07,3.4,143,6,0.9
CUS000055,2026-05,2.8,45,29,1.6
CUS000055,2026-06,4.1,66,43,2.4
CUS000055,2026-07,4.1,66,43,2.4
CUS000056,2026-05,2.0,198,46,1.2
CUS000056,2026-06,1.4,135,31,0.8
CUS000056,2026-07,1.8,183,42,1.1
CUS000057,2026-05,0.6,154,61,1.7
CUS000057,2026-06,0.6,153,60,1.7
CUS000057,2026-07,0.5,120,47,1.3
CUS000058,2026-05,8.3,115,38,1.1
CUS000058,2026-06,7.3,101,34,0.9
CUS000058,2026-07,6.9,95,32,0.9
CUS000059,2026-05,7.0,177,40,1.8
CUS000059,2026-06,9.0,227,51,2.3
CUS000059,2026-07,8.0,200,45,2.1
CUS000060,2026-05,21.4,193,58,0.6
CUS000060,2026-06,24.7,223,67,0.7
CUS000060,2026-07,20.0,181,54,0.5
CUS000061,2026-05,4.0,73,47,0.8
CUS000061,2026-06,4.6,83,54,0.9
CUS000061,2026-07,6.0,107,70,1.2
CUS000062,2026-05,8.3,109,56,0.6
CUS000062,2026-06,7.6,99,51,0.5
CUS000062,2026-07,5.3,70,36,0.4
CUS000063,2026-05,4.3,225,25,1.5
CUS000063,2026-06,4.0,209,23,1.4
CUS000063,2026-07,3.8,199,22,1.3
CUS000064,2026-05,9.0,117,88,1.0
CUS000064,2026-06,7.7,100,74,0.9
CUS000064,2026-07,6.8,88,66,0.8
CUS000065,2026-05,1.1,203,63,0.6
CUS000065,2026-06,1.1,200,62,0.6
CUS000065,2026-07,0.9,176,54,0.6
CUS000066,2026-05,35.7,439,30,9.5
CUS000066,2026-06,33.3,410,28,8.9
CUS000066,2026-07,31.7,389,26,8.4
CUS000067,2026-05,2.2,26,19,1.0
CUS000067,2026-06,2.5,30,22,1.2
CUS000067,2026-07,3.2,38,28,1.5
CUS000068,2026-05,3.1,64,13,1.5
CUS000068,2026-06,2.4,49,10,1.2
CUS000068,2026-07,2.2,44,9,1.0
CUS000069,2026-05,30.8,478,73,8.3
CUS000069,2026-06,24.6,381,58,6.7
CUS000069,2026-07,20.5,317,48,5.5
CUS000070,2026-05,8.3,258,103,2.9
CUS000070,2026-06,11.1,345,137,3.8
CUS000070,2026-07,23.1,398,158,8.0
CUS000071,2026-05,3.0,119,39,1.5
CUS000071,2026-06,3.8,153,50,1.9
CUS000071,2026-07,4.1,165,54,2.1
CUS000072,2026-05,25.2,245,31,4.0
CUS000072,2026-06,35.2,342,43,5.5
CUS000072,2026-07,24.6,239,30,3.9
CUS000073,2026-05,8.7,121,6,1.3
CUS000073,2026-06,7.5,104,5,1.1
CUS000073,2026-07,5.8,82,4,0.9
CUS000074,2026-05,22.7,215,38,5.7
CUS000074,2026-06,28.9,274,49,7.3
CUS000074,2026-07,30.2,286,51,7.6
CUS000075,2026-05,3.7,158,21,1.7
CUS000075,2026-06,6.2,148,20,2.8
CUS000075,2026-07,4.2,182,24,1.9
CUS000076,2026-05,25.6,328,108,0.1
CUS000076,2026-06,30.2,386,128,0.1
CUS000076,2026-07,30.1,386,127,0.1
CUS000077,2026-05,14.6,313,172,2.6
CUS000077,2026-06,11.1,237,130,2.0
CUS000077,2026-07,11.2,240,132,2.0
CUS000078,2026-05,22.3,426,89,4.8
CUS000078,2026-06,21.5,410,86,4.7
CUS000078,2026-07,18.9,360,75,4.1
CUS000079,2026-05,9.2,175,92,0.4
CUS000079,2026-06,7.4,141,74,0.3
CUS000079,2026-07,7.2,137,72,0.3
CUS000080,2026-05,20.0,235,47,2.6
CUS000080,2026-06,21.3,250,50,2.8
CUS000080,2026-07,25.1,295,59,3.2
CUS000081,2026-05,23.7,212,60,4.9
CUS000081,2026-06,21.5,193,54,4.4
CUS000081,2026-07,27.1,243,68,5.6
CUS000082,2026-05,1.6,130,61,2.0
CUS000082,2026-06,1.5,116,54,1.8
CUS000082,2026-07,1.2,98,46,1.5
CUS000083,2026-05,2.5,44,28,0.3
CUS000083,2026-06,2.5,43,28,0.3
CUS000083,2026-07,2.0,36,23,0.2
CUS000084,2026-05,3.8,59,38,0.9
CUS000084,2026-06,5.3,83,53,1.3
CUS000084,2026-07,4.4,68,44,1.0
CUS000085,2026-05,3.9,26,16,0.6
CUS000085,2026-06,4.3,28,17,0.6
CUS000085,2026-07,5.9,39,23,0.9
CUS000086,2026-05,3.3,67,42,0.8
CUS000086,2026-06,4.7,96,60,1.1
CUS000086,2026-07,3.7,75,47,0.9
CUS000087,2026-05,21.1,291,106,5.7
CUS000087,2026-06,20.0,275,100,5.4
CUS000087,2026-07,23.7,326,119,6.4
CUS000088,2026-05,4.0,77,58,1.4
CUS000088,2026-06,4.8,93,69,1.7
CUS000088,2026-07,4.7,91,68,1.6
CUS000089,2026-05,8.8,179,29,0.0
CUS000089,2026-06,9.2,187,30,0.0
CUS000089,2026-07,9.1,185,30,0.0
CUS000090,2026-05,18.5,249,107,5.6
CUS000090,2026-06,18.6,250,108,5.6
CUS000090,2026-07,23.5,317,136,7.1
CUS000091,2026-05,30.8,413,78,2.8
CUS000091,2026-06,28.2,378,71,2.6
CUS000091,2026-07,21.6,290,55,2.0
CUS000092,2026-05,12.8,213,68,5.3
CUS000092,2026-06,13.8,230,74,5.7
CUS000092,2026-07,15.1,252,81,6.3
CUS000093,2026-05,2.2,80,6,0.1
CUS000093,2026-06,3.2,116,9,0.2
CUS000093,2026-07,2.5,90,7,0.1
CUS000094,2026-05,3.4,57,7,0.9
CUS000094,2026-06,2.2,37,5,0.6
CUS000094,2026-07,2.2,36,5,0.5
CUS000095,2026-05,2.0,190,24,0.5
CUS000095,2026-06,1.8,174,22,0.5
CUS000095,2026-07,1.4,133,17,0.4
CUS000096,2026-05,4.0,84,66,1.9
CUS000096,2026-06,3.3,69,54,1.5
CUS000096,2026-07,3.9,80,64,1.8
CUS000097,2026-05,1.5,84,6,2.4
CUS000097,2026-06,1.0,104,7,1.6
CUS000097,2026-07,1.0,103,7,1.6
CUS000098,2026-05,4.1,113,41,1.0
CUS000098,2026-06,5.1,144,52,1.2
CUS000098,2026-07,4.1,114,42,1.0
CUS000099,2026-05,4.1,112,19,1.6
CUS000099,2026-06,4.9,132,22,1.9
CUS000099,2026-07,3.6,97,16,1.4
CUS000100,2026-05,2.2,55,41,0.4
CUS000100,2026-06,2.5,61,46,0.4
CUS000100,2026-07,2.5,62,47,0.4
CUS000101,2026-05,14.5,315,105,6.0
CUS000101,2026-06,14.4,313,104,5.9
CUS000101,2026-07,16.4,356,118,6.7
CUS000102,2026-05,4.9,86,14,2.0
CUS000102,2026-06,3.1,98,16,1.3
CUS000102,2026-07,2.9,91,15,1.2
CUS000103,2026-05,11.5,158,89,1.1
CUS000103,2026-06,13.2,180,101,1.3
CUS000103,2026-07,17.6,240,135,1.7
CUS000104,2026-05,2.6,124,30,0.7
CUS000104,2026-06,4.0,192,47,1.1
CUS000104,2026-07,3.3,161,39,0.9
CUS000105,2026-05,2.8,163,27,1.7
CUS000105,2026-06,2.9,169,28,1.8
CUS000105,2026-07,3.6,213,35,2.3
CUS000106,2026-05,13.8,359,32,1.8
CUS000106,2026-06,13.8,358,31,1.8
CUS000106,2026-07,13.0,337,30,1.7
CUS000107,2026-05,14.7,236,47,2.3
CUS000107,2026-06,11.9,192,38,1.9
CUS000107,2026-07,10.8,173,34,1.7
CUS000108,2026-05,6.8,40,93,0.8
CUS000108,2026-06,6.0,35,82,0.7
CUS000108,2026-07,11.9,39,90,1.5
CUS000109,2026-05,3.3,80,48,0.7
CUS000109,2026-06,3.4,83,50,0.7
CUS000109,2026-07,3.0,71,43,0.6
CUS000110,2026-05,5.7,81,71,0.5
CUS000110,2026-06,7.0,98,86,0.6
CUS000110,2026-07,7.3,103,90,0.6
CUS000111,2026-05,4.6,103,68,0.4
CUS000111,2026-06,3.7,82,54,0.3
CUS000111,2026-07,4.5,100,66,0.4
CUS000112,2026-05,6.2,52,30,0.8
CUS000112,2026-06,5.9,49,29,0.8
CUS000112,2026-07,5.5,45,27,0.7
CUS000113,2026-05,0.6,35,24,0.2
CUS000113,2026-06,0.6,35,24,0.2
CUS000113,2026-07,0.4,26,18,0.2
CUS000114,2026-05,16.2,110,48,6.1
CUS000114,2026-06,19.5,133,58,7.3
CUS000114,2026-07,22.9,156,68,8.6
CUS000115,2026-05,14.1,424,76,0.2
CUS000115,2026-06,12.7,381,68,0.2
CUS000115,2026-07,15.7,473,84,0.2
CUS000116,2026-05,29.3,149,22,2.6
CUS000116,2026-06,24.7,126,19,2.2
CUS000116,2026-07,34.1,174,26,3.1
CUS000117,2026-05,2.4,143,58,0.2
CUS000117,2026-06,3.4,202,82,0.2
CUS000117,2026-07,2.6,154,62,0.2
CUS000118,2026-05,7.6,125,44,2.0
CUS000118,2026-06,6.5,107,38,1.7
CUS000118,2026-07,5.4,89,31,1.4
CUS000119,2026-05,0.7,52,47,0.6
CUS000119,2026-06,1.0,69,63,0.8
CUS000119,2026-07,1.0,75,68,0.9
CUS000120,2026-05,19.2,349,11,0.1
CUS000120,2026-06,23.8,432,13,0.1
CUS000120,2026-07,24.9,453,14,0.1
CUS000121,2026-05,11.1,407,15,6.0
CUS000121,2026-06,8.2,300,11,4.4
CUS000121,2026-07,12.5,457,17,6.7
CUS000122,2026-05,29.2,261,83,5.2
CUS000122,2026-06,29.9,267,85,5.3
CUS000122,2026-07,33.8,302,96,6.0
CUS000123,2026-05,6.3,79,92,0.5
CUS000123,2026-06,4.4,54,63,0.4
CUS000123,2026-07,4.1,51,59,0.3
CUS000124,2026-05,18.8,321,17,3.6
CUS000124,2026-06,30.0,285,15,5.8
CUS000124,2026-07,24.8,423,22,4.8
CUS000125,2026-05,4.8,157,66,1.7
CUS000125,2026-06,6.1,202,85,2.2
CUS000125,2026-07,5.3,175,74,1.9
CUS000126,2026-05,13.9,214,52,3.7
CUS000126,2026-06,12.4,191,46,3.3
CUS000126,2026-07,11.1,171,41,3.0
CUS000127,2026-05,27.0,226,72,6.1
CUS000127,2026-06,28.6,240,77,6.5
CUS000127,2026-07,23.3,196,62,5.3
CUS000128,2026-05,7.0,118,55,0.2
CUS000128,2026-06,7.3,123,57,0.2
CUS000128,2026-07,8.2,138,64,0.2
CUS000129,2026-05,21.1,169,109,1.4
CUS000129,2026-06,22.8,183,118,1.6
CUS000129,2026-07,30.6,245,158,2.1
CUS000130,2026-05,0.6,199,32,1.5
CUS000130,2026-06,1.3,224,36,3.0
CUS000130,2026-07,0.6,191,30,1.4
CUS000131,2026-05,17.3,366,119,1.0
CUS000131,2026-06,18.0,381,124,1.1
CUS000131,2026-07,14.5,307,100,0.9
CUS000132,2026-05,14.6,336,78,3.5
CUS000132,2026-06,16.0,368,86,3.9
CUS000132,2026-07,19.0,438,102,4.6
CUS000133,2026-05,18.8,310,81,2.0
CUS000133,2026-06,28.7,473,123,3.0
CUS000133,2026-07,19.3,318,83,2.0
CUS000134,2026-05,15.3,169,22,1.8
CUS000134,2026-06,24.7,272,35,2.9
CUS000134,2026-07,24.1,266,35,2.8
CUS000135,2026-05,1.3,205,34,0.2
CUS000135,2026-06,1.2,192,32,0.1
CUS000135,2026-07,1.0,154,26,0.1
CUS000136,2026-05,25.5,334,122,4.6
CUS000136,2026-06,19.4,254,93,3.5
CUS000136,2026-07,27.5,361,132,5.0
CUS000137,2026-05,3.2,164,61,0.7
CUS000137,2026-06,3.4,176,65,0.8
CUS000137,2026-07,3.4,175,65,0.8
CUS000138,2026-05,5.8,77,32,1.7
CUS000138,2026-06,4.7,62,26,1.4
CUS000138,2026-07,3.9,52,22,1.1
CUS000139,2026-05,21.1,279,97,2.1
CUS000139,2026-06,24.1,317,111,2.4
CUS000139,2026-07,22.5,296,103,2.3
CUS000140,2026-05,13.6,241,72,3.2
CUS000140,2026-06,20.7,366,109,4.9
CUS000140,2026-07,15.7,279,83,3.7
CUS000141,2026-05,2.0,145,20,1.8
CUS000141,2026-06,1.7,126,17,1.6
CUS000141,2026-07,1.7,124,17,1.5
CUS000142,2026-05,8.7,88,48,2.2
CUS000142,2026-06,7.9,79,44,1.9
CUS000142,2026-07,7.9,80,44,2.0
CUS000143,2026-05,10.6,172,27,2.6
CUS000143,2026-06,10.0,163,26,2.4
CUS000143,2026-07,13.0,211,33,3.2
CUS000144,2026-05,22.9,139,147,7.0
CUS000144,2026-06,19.6,119,125,6.0
CUS000144,2026-07,20.5,125,131,6.3
CUS000145,2026-05,31.0,371,89,4.7
CUS000145,2026-06,19.7,424,101,3.0
CUS000145,2026-07,14.3,309,74,2.2
CUS000146,2026-05,6.4,32,47,0.8
CUS000146,2026-06,5.7,28,42,0.7
CUS000146,2026-07,5.6,27,41,0.7
CUS000147,2026-05,7.8,82,72,1.7
CUS000147,2026-06,13.5,79,69,2.9
CUS000147,2026-07,7.5,79,69,1.6
CUS000148,2026-05,5.9,116,71,0.3
CUS000148,2026-06,6.9,136,84,0.4
CUS000148,2026-07,11.2,122,75,0.6
CUS000149,2026-05,3.4,208,18,0.4
CUS000149,2026-06,3.5,212,18,0.4
CUS000149,2026-07,2.6,157,14,0.3
CUS000150,2026-05,7.2,135,68,0.1
CUS000150,2026-06,7.4,139,69,0.1
CUS000150,2026-07,5.7,107,53,0.1
CUS000151,2026-05,5.4,170,38,1.2
CUS000151,2026-06,4.8,150,34,1.1
CUS000151,2026-07,4.7,147,33,1.0
CUS000152,2026-05,5.8,109,20,1.0
CUS000152,2026-06,8.1,152,28,1.4
CUS000152,2026-07,6.3,118,22,1.1
CUS000153,2026-05,6.7,140,76,1.3
CUS000153,2026-06,8.0,167,90,1.6
CUS000153,2026-07,10.3,120,65,2.1
CUS000154,2026-05,1.0,139,39,0.1
CUS000154,2026-06,1.2,165,46,0.1
CUS000154,2026-07,1.1,150,42,0.1
CUS000155,2026-05,18.0,328,47,5.2
CUS000155,2026-06,19.2,352,50,5.5
CUS000155,2026-07,20.5,375,54,5.9
CUS000156,2026-05,24.9,156,21,3.0
CUS000156,2026-06,34.4,216,29,4.1
CUS000156,2026-07,33.1,208,28,3.9
CUS000157,2026-05,112.8,221,11,22.0
CUS000157,2026-06,94.4,185,9,18.4
CUS000157,2026-07,78.1,153,7,15.3
CUS000158,2026-05,14.0,173,165,7.4
CUS000158,2026-06,9.5,118,113,5.1
CUS000158,2026-07,13.2,163,156,7.0
CUS000159,2026-05,18.9,135,63,4.3
CUS000159,2026-06,28.1,200,94,6.3
CUS000159,2026-07,28.5,203,95,6.4
CUS000160,2026-05,5.8,24,17,1.1
CUS000160,2026-06,8.4,35,24,1.6
CUS000160,2026-07,5.7,24,16,1.1
CUS000161,2026-05,3.6,176,35,1.7
CUS000161,2026-06,3.1,154,31,1.5
CUS000161,2026-07,3.6,178,35,1.7
CUS000162,2026-05,27.5,351,138,0.3
CUS000162,2026-06,13.8,318,125,0.2
CUS000162,2026-07,13.6,311,122,0.2
CUS000163,2026-05,2.1,115,6,1.4
CUS000163,2026-06,2.2,121,6,1.5
CUS000163,2026-07,1.9,102,5,1.3
CUS000164,2026-05,23.8,265,115,3.3
CUS000164,2026-06,28.1,311,135,3.9
CUS000164,2026-07,28.7,319,138,4.0
CUS000165,2026-05,17.9,149,50,0.1
CUS000165,2026-06,21.2,176,59,0.1
CUS000165,2026-07,14.5,120,40,0.1
CUS000166,2026-05,11.4,234,40,6.9
CUS000166,2026-06,19.5,222,38,11.8
CUS000166,2026-07,9.2,188,32,5.5
CUS000167,2026-05,23.7,242,125,1.9
CUS000167,2026-06,26.2,267,138,2.1
CUS000167,2026-07,34.4,351,182,2.7
CUS000168,2026-05,15.5,157,18,1.1
CUS000168,2026-06,16.5,166,19,1.2
CUS000168,2026-07,18.7,189,21,1.4
CUS000169,2026-05,10.0,423,109,7.3
CUS000169,2026-06,6.6,281,72,4.8
CUS000169,2026-07,8.6,365,94,6.3
CUS000170,2026-05,6.5,135,11,1.1
CUS000170,2026-06,7.8,162,13,1.3
CUS000170,2026-07,8.6,178,14,1.4
CUS000171,2026-05,4.8,69,50,1.3
CUS000171,2026-06,4.3,61,45,1.1
CUS000171,2026-07,5.3,75,55,1.4
CUS000172,2026-05,19.9,268,66,1.2
CUS000172,2026-06,25.6,344,84,1.6
CUS000172,2026-07,19.7,265,65,1.2
CUS000173,2026-05,17.7,275,62,3.0
CUS000173,2026-06,19.1,297,67,3.2
CUS000173,2026-07,23.2,361,81,3.9
CUS000174,2026-05,29.7,413,26,2.5
CUS000174,2026-06,30.6,425,26,2.6
CUS000174,2026-07,31.7,441,27,2.7
CUS000175,2026-05,4.7,138,85,0.5
CUS000175,2026-06,3.5,102,63,0.4
CUS000175,2026-07,5.1,151,93,0.6
CUS000176,2026-05,5.6,131,12,0.2
CUS000176,2026-06,5.6,131,12,0.2
CUS000176,2026-07,6.6,154,14,0.3
CUS000177,2026-05,6.3,246,67,0.5
CUS000177,2026-06,6.4,249,67,0.5
CUS000177,2026-07,8.1,314,85,0.6
CUS000178,2026-05,3.9,81,48,0.7
CUS000178,2026-06,4.7,97,57,0.9
CUS000178,2026-07,4.4,91,54,0.8
CUS000179,2026-05,66.0,293,91,7.6
CUS000179,2026-06,46.5,207,64,5.4
CUS000179,2026-07,69.2,307,95,8.0
CUS000180,2026-05,4.0,171,80,2.2
CUS000180,2026-06,3.2,136,63,1.7
CUS000180,2026-07,3.2,139,65,1.8
CUS000181,2026-05,5.7,82,56,0.1
CUS000181,2026-06,7.0,99,68,0.1
CUS000181,2026-07,5.4,77,53,0.1
CUS000182,2026-05,14.5,369,113,5.7
CUS000182,2026-06,17.0,432,132,6.6
CUS000182,2026-07,11.8,301,92,4.6
CUS000183,2026-05,14.8,320,18,6.1
CUS000183,2026-06,14.9,321,18,6.1
CUS000183,2026-07,21.3,460,26,8.8
CUS000184,2026-05,5.3,166,34,1.8
CUS000184,2026-06,5.7,178,37,2.0
CUS000184,2026-07,5.7,179,37,2.0
CUS000185,2026-05,21.7,128,124,2.0
CUS000185,2026-06,18.6,110,106,1.7
CUS000185,2026-07,20.9,123,119,1.9
CUS000186,2026-05,4.9,98,68,1.4
CUS000186,2026-06,5.5,110,77,1.6
CUS000186,2026-07,5.7,115,80,1.6
CUS000187,2026-05,3.3,180,7,1.3
CUS000187,2026-06,2.6,141,6,1.0
CUS000187,2026-07,3.8,205,8,1.5
CUS000188,2026-05,77.1,95,20,24.0
CUS000188,2026-06,96.0,118,25,29.9
CUS000188,2026-07,87.7,108,23,27.4
CUS000189,2026-05,15.9,205,26,2.8
CUS000189,2026-06,16.1,208,27,2.9
CUS000189,2026-07,21.1,272,35,3.8
CUS000190,2026-05,11.7,139,126,0.9
CUS000190,2026-06,12.7,151,137,1.0
CUS000190,2026-07,9.3,110,100,0.7
CUS000191,2026-05,0.5,169,41,0.1
CUS000191,2026-06,0.4,138,33,0.1
CUS000191,2026-07,0.5,173,42,0.1
CUS000192,2026-05,19.4,277,122,3.3
CUS000192,2026-06,19.2,275,121,3.2
CUS000192,2026-07,21.2,303,133,3.6
CUS000193,2026-05,22.2,106,152,7.8
CUS000193,2026-06,24.5,117,167,8.6
CUS000193,2026-07,26.1,125,179,9.1
CUS000194,2026-05,109.0,58,73,7.6
CUS000194,2026-06,111.8,60,75,7.8
CUS000194,2026-07,88.2,47,59,6.2
CUS000195,2026-05,5.0,159,32,0.4
CUS000195,2026-06,4.1,133,27,0.4
CUS000195,2026-07,4.5,146,30,0.4
CUS000196,2026-05,14.6,265,61,0.6
CUS000196,2026-06,22.5,408,95,0.9
CUS000196,2026-07,20.9,379,88,0.8
CUS000197,2026-05,21.6,276,110,6.9
CUS000197,2026-06,19.8,252,100,6.3
CUS000197,2026-07,25.8,329,131,8.3
CUS000198,2026-05,5.6,112,25,1.3
CUS000198,2026-06,7.4,147,33,1.7
CUS000198,2026-07,6.5,130,29,1.5
CUS000199,2026-05,15.0,210,95,3.6
CUS000199,2026-06,15.6,217,99,3.7
CUS000199,2026-07,10.7,149,68,2.5
CUS000200,2026-05,19.3,266,55,2.6
CUS000200,2026-06,22.9,316,65,3.1
CUS000200,2026-07,19.5,269,56,2.7
CUS000201,2026-05,35.7,254,129,5.2
CUS000201,2026-06,30.0,214,109,4.4
CUS000201,2026-07,29.8,212,108,4.4
CUS000202,2026-05,160.5,369,111,10.0
